Bank,Account Number,Loan Type,Investor Code,Borrower,Property Address,Property Type,Product Line,State,Region,Occupancy Code,Stop Code,Account Officer,Loan Closing Date,Maturity Date,Next Payment Due Date,Payment Due Amount,Delinquency Type,# Days Past Due,Total Bank Balance,Charge Off Amount,Original Appraisal Amount,Appraisal Value,Appraisal Date,FICO,Total Loan To Value,Last Payment Received Date,Last Payment Received Amount,Suspense Balance,DDA/Sav Acct#,DDA/Sav Account Balance,Latest Contact Date,Latest Attempt Date
East West Bank,EWB-1000012,Foreign National,FNMA,Borrower 12,"6124 Main St, Unit 38",Residential Property (1-4 Units),LC1,GA,South,4,TRNS,Susan Martinez,2023-10-01,2053-09-23,2026-04-20,1478,Current,0,1197926,0,1370405,1249089,2023-09-16,604,95.9,2025-11-21,2466,613,DDA-51375,33518,2026-03-17,2026-03-19
East West Bank,EWB-1000013,Construction,GNMA,Borrower 13,"9710 Main St, Unit 5",Commercial & Multi-Family (5+ Units),HE1,CA,North,1,SII,Daniel Martin,2022-10-09,2052-10-01,2026-04-20,1686,Current,0,1067098,0,1139913,1120390,2022-09-24,708,95.24,2025-12-03,2341,684,DDA-17425,5606,2026-03-05,2026-03-18
East West Bank,EWB-1000014,Lot Loan,GNMA,Borrower 14,"4853 Main St, Unit 22",Commercial & Multi-Family (5+ Units),CE1,CA,West,3,M,Margaret Harris,2023-06-30,2053-06-22,2026-04-20,4232,Current,0,493005,0,711353,703480,2023-06-15,678,70.08,2025-12-11,2885,333,DDA-55253,8782,2026-03-12,2026-03-18
East West Bank,EWB-1000015,Specialty,GNMA,Borrower 15,"4248 Main St, Unit 37",Commercial & Multi-Family (5+ Units),LC1,NY,West,2,REO,Nancy Jackson,2022-10-30,2052-10-22,2026-04-20,4468,90-Day Delinquent,90,1002913,2062,1196797,1446147,2022-10-15,739,69.35,2025-11-20,4014,781,DDA-29284,5970,2026-03-09,2026-03-17
East West Bank,EWB-1000016,Foreign National,FNMA,Borrower 16,"8671 Main St, Unit 40",Commercial & Multi-Family (5+ Units),CE1,GA,West,2,PIF,Sarah Jenkins,2023-08-23,2053-08-15,2026-04-20,3728,30-Day Delinquent,30,582587,0,637879,723809,2023-08-08,694,80.49,2025-12-21,3393,513,DDA-69886,638,2026-03-19,2026-03-16
East West Bank,EWB-1000017,ARM,GNMA,Borrower 17,"3167 Main St, Unit 17",Residential Property (1-4 Units),CS1,TX,East,3,PIF,Charles Wilson,2023-01-10,2053-01-02,2026-04-20,1156,Current,0,1363647,0,1461736,1588815,2022-12-26,637,85.83,2025-12-08,4247,5,DDA-43324,6874,2026-03-03,2026-03-19
East West Bank,EWB-1000018,Conventional,EWB-INT,Borrower 18,"9468 Main St, Unit 6",Commercial & Multi-Family (5+ Units),CE1,IL,West,2,LOSS,James Miller,2023-10-18,2053-10-10,2026-04-20,1996,90-Day Delinquent,120,900937,604,1419460,1658266,2023-10-03,580,54.33,2025-11-23,2576,359,DDA-87959,46970,2026-03-13,2026-03-16
East West Bank,EWB-1000019,Lot Loan,FNMA,Borrower 19,"2254 Main St, Unit 50",Residential Property (1-4 Units),CS1,IL,East,1,DIS,Nancy Jackson,2023-06-09,2053-06-01,2026-04-20,4863,Current,0,509528,0,757086,912349,2023-05-25,609,55.85,2025-11-29,3418,170,DDA-24637,39148,2026-02-28,2026-03-17
East West Bank,EWB-1000020,Specialty,PRIV,Borrower 20,"3016 Main St, Unit 14",Commercial & Multi-Family (5+ Units),CR1,MA,East,2,REO,Joseph White,2022-12-14,2052-12-06,2026-04-20,1539,60-Day Delinquent,60,1022701,0,1472905,1373197,2022-11-29,732,74.48,2025-11-20,4045,785,DDA-57799,30843,2026-03-07,2026-03-18
East West Bank,EWB-1000021,Foreign National,FHLMC,Borrower 21,"9525 Main St, Unit 21",Commercial & Multi-Family (5+ Units),CR1,NY,East,1,M,Daniel Martin,2022-11-14,2052-11-06,2026-04-20,1018,90-Day Delinquent,120,371372,1913,582315,742112,2022-10-30,732,50.04,2025-12-03,4565,501,DDA-98821,1285,2026-03-07,2026-03-20
East West Bank,EWB-1000022,ARM,GNMA,Borrower 22,"3849 Main St, Unit 48",Commercial & Multi-Family (5+ Units),CS1,MA,South,4,TRNS,Lisa Williams,2023-04-20,2053-04-12,2026-04-20,1778,Current,0,746666,0,1435160,1302625,2023-04-05,744,57.32,2025-11-16,4148,38,DDA-64989,37253,2026-02-21,2026-03-21
East West Bank,EWB-1000023,Equity,GNMA,Borrower 23,"2782 Main St, Unit 10",Commercial & Multi-Family (5+ Units),CS1,IL,West,3,SII,Matthew Moore,2023-12-27,2053-12-19,2026-04-20,1079,Current,0,660539,0,1128732,1442024,2023-12-12,658,45.81,2025-11-08,3706,882,DDA-57756,46906,2026-03-08,2026-03-19
East West Bank,EWB-1000024,Equity,GNMA,Borrower 24,"2356 Main St, Unit 38",Residential Property (1-4 Units),CR1,TX,South,3,DIS,Patricia Hernandez,2022-07-11,2052-07-03,2026-04-20,4292,Current,0,386262,0,452918,539674,2022-06-26,756,71.57,2025-12-05,3249,849,DDA-37298,12610,2026-03-14,2026-03-18
East West Bank,EWB-1000025,Construction,PRIV,Borrower 25,"5872 Main St, Unit 34",Residential Property (1-4 Units),SP1,WA,West,2,PIF,Donald Martinez,2022-08-18,2052-08-10,2026-04-20,2588,Current,0,184695,0,283767,289892,2022-08-03,803,63.71,2025-11-22,3838,402,DDA-66534,25886,2026-03-04,2026-03-20
East West Bank,EWB-1000026,Equity,FHLMC,Borrower 26,"5987 Main St, Unit 21",Commercial & Multi-Family (5+ Units),HE1,GA,East,2,PIF,Christopher Thomas,2022-03-02,2052-02-23,2026-04-20,1627,Current,0,204728,0,286330,354319,2022-02-15,703,57.78,2025-11-24,1060,276,DDA-34798,39161,2026-03-12,2026-03-18
East West Bank,EWB-1000027,Conventional,EWB-INT,Borrower 27,"1331 Main St, Unit 6",Commercial & Multi-Family (5+ Units),HE1,NJ,South,3,LOSS,Matthew Moore,2023-12-26,2053-12-18,2026-04-20,2787,Current,0,117127,0,163986,200209,2023-12-11,775,58.5,2025-11-04,3702,568,DDA-84028,20217,2026-02-25,2026-03-21
East West Bank,EWB-1000028,Specialty,PRIV,Borrower 28,"8442 Main St, Unit 24",Residential Property (1-4 Units),SP1,MA,North,1,DIS,Robert Brown,2023-08-19,2053-08-11,2026-04-20,2333,60-Day Delinquent,60,107787,0,162666,193705,2023-08-04,745,55.64,2025-12-12,3746,925,DDA-83758,42898,2026-02-28,2026-03-20
East West Bank,EWB-1000029,ARM,EWB-INT,Borrower 29,"5226 Main St, Unit 31",Commercial & Multi-Family (5+ Units),CR1,MA,East,2,SII,Richard Davis,2023-08-27,2053-08-19,2026-04-20,4208,Current,0,314454,0,438998,535670,2023-08-12,705,58.7,2025-12-20,3656,603,DDA-18401,9866,2026-02-19,2026-03-17
East West Bank,EWB-1000030,Lot Loan,FNMA,Borrower 30,"2103 Main St, Unit 33",Residential Property (1-4 Units),CR1,GA,West,4,LOSS,Joseph White,2022-11-12,2052-11-04,2026-04-20,3262,30-Day Delinquent,30,775741,0,1483382,1644047,2022-10-28,733,47.18,2025-11-24,2060,622,DDA-43359,16033,2026-02-20,2026-03-19
East West Bank,EWB-1000031,Foreign National,GNMA,Borrower 31,"8542 Main St, Unit 2",Commercial & Multi-Family (5+ Units),CE1,IL,South,2,LOSS,Jessica Taylor,2023-09-03,2053-08-26,2026-04-20,3944,90-Day Delinquent,90,1045482,1499,1146107,1396946,2023-08-19,791,74.84,2025-12-05,3551,587,DDA-96152,12265,2026-03-15,2026-03-16
East West Bank,EWB-1000032,Conventional,GNMA,Borrower 32,"4353 Main St, Unit 50",Commercial & Multi-Family (5+ Units),HE1,MA,East,1,SII,Jessica Taylor,2023-07-26,2053-07-18,2026-04-20,3194,Current,0,351378,0,501279,531375,2023-07-11,655,66.13,2025-11-23,2299,468,DDA-56971,19246,2026-03-01,2026-03-17
East West Bank,EWB-1000033,Specialty,GNMA,Borrower 33,"596 Main St, Unit 28",Commercial & Multi-Family (5+ Units),HE1,NJ,West,4,FC,Jessica Taylor,2023-11-12,2053-11-04,2026-04-20,3029,Current,0,423260,0,639570,687324,2023-10-28,740,61.58,2025-12-09,1610,953,DDA-94441,48537,2026-03-01,2026-03-19
East West Bank,EWB-1000034,Construction,FNMA,Borrower 34,"3448 Main St, Unit 32",Residential Property (1-4 Units),HE1,NY,East,1,LOSS,Barbara Taylor,2023-10-24,2053-10-16,2026-04-20,4716,Current,0,964700,0,1471685,1580731,2023-10-09,666,61.03,2025-12-12,1108,864,DDA-51020,27920,2026-02-28,2026-03-21
East West Bank,EWB-1000035,Equity,FNMA,Borrower 35,"9207 Main St, Unit 22",Commercial & Multi-Family (5+ Units),LC1,TX,South,1,PIF,Jessica Taylor,2023-05-09,2053-05-01,2026-04-20,3563,90-Day Delinquent,90,259733,4821,351664,318695,2023-04-24,746,81.5,2025-11-21,2482,411,DDA-17234,26503,2026-03-16,2026-03-17
East West Bank,EWB-1000036,Equity,EWB-INT,Borrower 36,"989 Main St, Unit 41",Residential Property (1-4 Units),HE1,TX,East,1,BK,Linda Garcia,2023-02-23,2053-02-15,2026-04-20,1035,Current,0,153385,0,289182,272489,2023-02-08,637,56.29,2025-12-31,1804,698,DDA-54914,36223,2026-02-28,2026-03-17
East West Bank,EWB-1000037,Foreign National,FHLMC,Borrower 37,"2090 Main St, Unit 8",Commercial & Multi-Family (5+ Units),CE1,CA,East,3,PIF,Susan Martinez,2023-12-13,2053-12-05,2026-04-20,1708,30-Day Delinquent,30,294041,0,334064,372183,2023-11-28,580,79.0,2025-12-05,3925,558,DDA-80515,35820,2026-03-13,2026-03-16
East West Bank,EWB-1000038,Conventional,FHLMC,Borrower 38,"2244 Main St, Unit 49",Commercial & Multi-Family (5+ Units),CE1,GA,South,3,REO,Richard Davis,2022-12-05,2052-11-27,2026-04-20,3720,30-Day Delinquent,30,474780,0,773094,889482,2022-11-20,770,53.38,2025-12-03,2235,794,DDA-14440,7842,2026-02-28,2026-03-19
East West Bank,EWB-1000039,Specialty,PRIV,Borrower 39,"8528 Main St, Unit 9",Residential Property (1-4 Units),SP1,WA,South,1,REO,Linda Garcia,2023-01-24,2053-01-16,2026-04-20,1885,60-Day Delinquent,60,670249,0,765270,833700,2023-01-09,753,80.39,2025-12-02,3559,243,DDA-10661,46718,2026-03-11,2026-03-17
East West Bank,EWB-1000040,Conventional,EWB-INT,Borrower 40,"3319 Main St, Unit 29",Residential Property (1-4 Units),CE1,MA,East,3,FC,Jessica Taylor,2023-04-26,2053-04-18,2026-04-20,4334,Current,0,770254,0,1067710,1153346,2023-04-11,694,66.78,2025-11-28,3661,284,DDA-13993,22211,2026-03-05,2026-03-16
East West Bank,EWB-1000041,Conventional,PRIV,Borrower 41,"7368 Main St, Unit 11",Commercial & Multi-Family (5+ Units),LC1,FL,West,3,TRNS,Christopher Thomas,2022-02-05,2052-01-29,2026-04-20,2763,Current,0,159482,0,272409,250807,2022-01-21,819,63.59,2025-11-26,2008,793,DDA-78641,6469,2026-02-20,2026-03-17
East West Bank,EWB-1000042,ARM,FNMA,Borrower 42,"2612 Main St, Unit 3",Commercial & Multi-Family (5+ Units),SP1,FL,East,2,FC,Thomas Thompson,2022-11-07,2052-10-30,2026-04-20,3818,Current,0,374463,0,403618,374055,2022-10-23,689,100.11,2025-12-21,1678,914,DDA-53036,1449,2026-03-16,2026-03-20
East West Bank,EWB-1000043,ARM,FHLMC,Borrower 43,"6413 Main St, Unit 39",Commercial & Multi-Family (5+ Units),LC1,MA,North,2,DIS,Lisa Williams,2023-09-30,2053-09-22,2026-04-20,1976,Current,0,493634,0,922838,873931,2023-09-15,704,56.48,2025-11-21,4101,335,DDA-51312,14870,2026-03-14,2026-03-16
East West Bank,EWB-1000044,Conventional,PRIV,Borrower 44,"1486 Main St, Unit 37",Commercial & Multi-Family (5+ Units),HE1,CA,West,4,BK,Margaret Harris,2022-02-02,2052-01-26,2026-04-20,3269,Current,0,1299741,0,1383916,1705511,2022-01-18,611,76.21,2025-12-11,3543,854,DDA-90248,46833,2026-02-22,2026-03-17
East West Bank,EWB-1000045,Lot Loan,GNMA,Borrower 45,"2108 Main St, Unit 17",Commercial & Multi-Family (5+ Units),CE1,NJ,West,2,LEG,Nancy Jackson,2022-02-08,2052-02-01,2026-04-20,4968,Current,0,450694,0,885716,1065705,2022-01-24,711,42.29,2025-12-13,2117,452,DDA-71198,1780,2026-02-19,2026-03-19
East West Bank,EWB-1000046,Specialty,EWB-INT,Borrower 46,"4138 Main St, Unit 45",Commercial & Multi-Family (5+ Units),SP1,CA,South,3,REO,Sarah Jenkins,2023-11-06,2053-10-29,2026-04-20,2689,Current,0,759723,0,1123548,1360668,2023-10-22,769,55.83,2025-11-04,1165,849,DDA-15606,42261,2026-03-15,2026-03-21
East West Bank,EWB-1000047,Specialty,FNMA,Borrower 47,"3584 Main St, Unit 28",Commercial & Multi-Family (5+ Units),CS1,MA,East,3,LOSS,Robert Brown,2024-01-01,2053-12-24,2026-04-20,2033,Current,0,1005700,0,1363475,1491391,2023-12-17,728,67.43,2025-11-11,1870,209,DDA-35352,33069,2026-02-22,2026-03-16
East West Bank,EWB-1000048,Equity,GNMA,Borrower 48,"2203 Main St, Unit 2",Residential Property (1-4 Units),CS1,WA,South,4,M,Jessica Taylor,2022-09-10,2052-09-02,2026-04-20,3407,90-Day Delinquent,120,669335,207,1149238,1326978,2022-08-26,679,50.44,2025-12-25,4348,70,DDA-80340,40832,2026-02-27,2026-03-17
East West Bank,EWB-1000049,Conventional,PRIV,Borrower 49,"7111 Main St, Unit 38",Residential Property (1-4 Units),CE1,NJ,West,1,SII,Robert Brown,2022-03-02,2052-02-23,2026-04-20,3167,Current,0,272410,0,529989,566762,2022-02-15,702,48.06,2025-12-23,2792,471,DDA-64431,38886,2026-03-07,2026-03-17
East West Bank,EWB-1000050,Specialty,GNMA,Borrower 50,"1316 Main St, Unit 43",Commercial & Multi-Family (5+ Units),CS1,GA,East,3,LOSS,Emily Watson,2023-01-17,2053-01-09,2026-04-20,2485,90-Day Delinquent,90,193939,3032,214044,246869,2023-01-02,686,78.56,2025-12-24,3901,664,DDA-50023,14593,2026-03-09,2026-03-18
East West Bank,EWB-1000051,Construction,EWB-INT,Borrower 51,"5709 Main St, Unit 28",Residential Property (1-4 Units),CR1,WA,West,3,TRNS,Patricia Hernandez,2022-04-26,2052-04-18,2026-04-20,2591,Current,0,187949,0,259556,314591,2022-04-11,779,59.74,2025-11-17,1858,137,DDA-42740,20125,2026-03-03,2026-03-20
East West Bank,EWB-1000052,ARM,FHLMC,Borrower 52,"3692 Main St, Unit 42",Residential Property (1-4 Units),CS1,VA,West,2,BK,Thomas Thompson,2023-06-19,2053-06-11,2026-04-20,1176,90-Day Delinquent,90,821763,2207,917595,1146562,2023-06-04,741,71.67,2025-12-15,1178,694,DDA-29596,2552,2026-02-19,2026-03-16
East West Bank,EWB-1000053,ARM,FNMA,Borrower 53,"2265 Main St, Unit 1",Residential Property (1-4 Units),HE1,GA,North,1,M,Patricia Hernandez,2022-10-05,2052-09-27,2026-04-20,1957,Current,0,1177595,0,1351482,1271114,2022-09-20,695,92.64,2025-11-20,2726,65,DDA-26125,23968,2026-03-06,2026-03-17
East West Bank,EWB-1000054,Foreign National,FNMA,Borrower 54,"7822 Main St, Unit 3",Commercial & Multi-Family (5+ Units),CE1,NY,West,3,M,Jessica Taylor,2023-06-01,2053-05-24,2026-04-20,1914,Current,0,137602,0,225766,219272,2023-05-17,714,62.75,2025-11-16,1254,281,DDA-84120,5360,2026-03-15,2026-03-20
East West Bank,EWB-1000055,Construction,GNMA,Borrower 55,"5322 Main St, Unit 48",Residential Property (1-4 Units),LC1,VA,East,1,LEG,David Rodriguez,2022-08-22,2052-08-14,2026-04-20,1065,90-Day Delinquent,90,581869,3220,718550,928782,2022-08-07,806,62.65,2025-11-18,3162,898,DDA-86865,46059,2026-03-11,2026-03-17
East West Bank,EWB-1000056,Lot Loan,FHLMC,Borrower 56,"9384 Main St, Unit 43",Commercial & Multi-Family (5+ Units),CS1,TX,North,3,LEG,Christopher Thomas,2022-02-04,2052-01-28,2026-04-20,3218,90-Day Delinquent,90,729305,1226,835440,907356,2022-01-20,640,80.38,2025-11-23,1310,753,DDA-92954,48741,2026-02-21,2026-03-20
East West Bank,EWB-1000057,Foreign National,FNMA,Borrower 57,"4234 Main St, Unit 47",Commercial & Multi-Family (5+ Units),LC1,NJ,West,4,FC,Sarah Jenkins,2022-01-24,2052-01-17,2026-04-20,1989,Current,0,261688,0,287848,280683,2022-01-09,756,93.23,2025-11-25,4278,303,DDA-57646,8099,2026-03-20,2026-03-21
East West Bank,EWB-1000058,Conventional,PRIV,Borrower 58,"9279 Main St, Unit 2",Residential Property (1-4 Units),LC1,VA,South,2,FC,Sarah Jenkins,2023-04-16,2053-04-08,2026-04-20,1326,60-Day Delinquent,60,501129,0,552690,502447,2023-04-01,806,99.74,2025-12-22,4682,206,DDA-44297,6176,2026-03-10,2026-03-20
East West Bank,EWB-1000059,Equity,FHLMC,Borrower 59,"8508 Main St, Unit 7",Commercial & Multi-Family (5+ Units),HE1,GA,West,4,SII,Richard Davis,2022-02-06,2052-01-30,2026-04-20,2340,Current,0,107706,0,171959,214249,2022-01-22,805,50.27,2025-12-02,3926,714,DDA-49050,10945,2026-02-20,2026-03-19
East West Bank,EWB-1000060,Specialty,FHLMC,Borrower 60,"2670 Main St, Unit 36",Residential Property (1-4 Units),HE1,NJ,West,3,DIS,Emily Watson,2022-11-08,2052-10-31,2026-04-20,1345,Current,0,299599,0,378576,438290,2022-10-24,625,68.36,2025-11-25,4418,476,DDA-52933,38204,2026-03-13,2026-03-16
East West Bank,EWB-1000061,Equity,FNMA,Borrower 61,"2653 Main St, Unit 17",Commercial & Multi-Family (5+ Units),CS1,TX,North,3,M,John Smith,2022-07-16,2052-07-08,2026-04-20,3611,Current,0,545225,0,1064091,1363029,2022-07-01,742,40.0,2025-12-16,1521,362,DDA-53901,18140,2026-02-23,2026-03-17
East West Bank,EWB-1000062,Conventional,EWB-INT,Borrower 62,"4868 Main St, Unit 23",Residential Property (1-4 Units),HE1,MA,North,4,BK,Linda Garcia,2023-03-30,2053-03-22,2026-04-20,2761,Current,0,135157,0,211087,268459,2023-03-15,710,50.35,2025-11-05,2981,753,DDA-84177,45888,2026-03-03,2026-03-19
East West Bank,EWB-1000063,ARM,EWB-INT,Borrower 63,"2688 Main St, Unit 13",Commercial & Multi-Family (5+ Units),CE1,GA,East,2,PIF,Daniel Martin,2023-05-25,2053-05-17,2026-04-20,4140,Current,0,138091,0,268451,245501,2023-05-10,766,56.25,2025-11-16,2430,254,DDA-77757,12312,2026-03-05,2026-03-18
East West Bank,EWB-1000064,Equity,GNMA,Borrower 64,"641 Main St, Unit 15",Residential Property (1-4 Units),HE1,MA,North,3,PIF,Thomas Thompson,2022-11-10,2052-11-02,2026-04-20,2906,Current,0,410273,0,589792,707266,2022-10-26,726,58.01,2025-12-24,2559,671,DDA-58233,11378,2026-03-02,2026-03-16
East West Bank,EWB-1000065,Conventional,FHLMC,Borrower 65,"8705 Main St, Unit 48",Commercial & Multi-Family (5+ Units),CR1,IL,West,2,TRNS,Thomas Thompson,2022-05-06,2052-04-28,2026-04-20,4493,Current,0,1219123,0,1412859,1350562,2022-04-21,618,90.27,2025-11-25,1334,339,DDA-38585,17344,2026-02-28,2026-03-19
East West Bank,EWB-1000066,ARM,FHLMC,Borrower 66,"7105 Main St, Unit 15",Residential Property (1-4 Units),CS1,NJ,South,2,LEG,Lisa Williams,2023-05-20,2053-05-12,2026-04-20,1941,Current,0,672227,0,915313,1131429,2023-05-05,714,59.41,2025-12-08,2403,195,DDA-50129,24002,2026-03-15,2026-03-21
East West Bank,EWB-1000067,Specialty,GNMA,Borrower 67,"8445 Main St, Unit 41",Residential Property (1-4 Units),CR1,IL,West,2,SII,Sandra Garcia,2022-11-27,2052-11-19,2026-04-20,4951,30-Day Delinquent,30,542190,0,741460,851230,2022-11-12,806,63.69,2025-12-15,2245,63,DDA-17422,4346,2026-03-13,2026-03-20
East West Bank,EWB-1000068,Lot Loan,EWB-INT,Borrower 68,"7830 Main St, Unit 29",Residential Property (1-4 Units),CE1,VA,South,2,REO,John Smith,2023-08-26,2053-08-18,2026-04-20,4347,Current,0,790177,0,1291840,1544751,2023-08-11,775,51.15,2025-11-15,4828,253,DDA-65000,29632,2026-03-04,2026-03-17
East West Bank,EWB-1000069,Construction,GNMA,Borrower 69,"2418 Main St, Unit 39",Commercial & Multi-Family (5+ Units),LC1,FL,West,4,LEG,Karen Anderson,2022-06-07,2052-05-30,2026-04-20,4099,Current,0,208092,0,375281,362889,2022-05-23,728,57.34,2025-11-14,4865,831,DDA-87173,29736,2026-02-20,2026-03-18
East West Bank,EWB-1000070,Lot Loan,FHLMC,Borrower 70,"6658 Main St, Unit 42",Commercial & Multi-Family (5+ Units),CR1,IL,South,3,M,Lisa Williams,2022-06-06,2052-05-29,2026-04-20,2861,Current,0,942581,0,1048613,945050,2022-05-22,624,99.74,2025-12-09,1921,957,DDA-66544,544,2026-03-02,2026-03-17
East West Bank,EWB-1000071,Conventional,EWB-INT,Borrower 71,"532 Main St, Unit 29",Residential Property (1-4 Units),LC1,NY,South,1,LEG,Margaret Harris,2023-08-12,2053-08-04,2026-04-20,3865,Current,0,302461,0,419536,400692,2023-07-28,725,75.48,2025-11-17,4049,65,DDA-54896,34917,2026-02-20,2026-03-19
East West Bank,EWB-1000072,Lot Loan,PRIV,Borrower 72,"6273 Main St, Unit 18",Commercial & Multi-Family (5+ Units),HE1,GA,South,2,LEG,Charles Wilson,2022-08-29,2052-08-21,2026-04-20,1700,30-Day Delinquent,30,252733,0,327789,308710,2022-08-14,707,81.87,2025-12-24,2182,469,DDA-96172,39690,2026-03-06,2026-03-17
East West Bank,EWB-1000073,Specialty,PRIV,Borrower 73,"1207 Main St, Unit 48",Residential Property (1-4 Units),HE1,FL,South,4,REO,Thomas Thompson,2022-05-27,2052-05-19,2026-04-20,1818,Current,0,593219,0,987291,1156260,2022-05-12,730,51.3,2025-11-20,4916,865,DDA-16296,4768,2026-03-01,2026-03-18
East West Bank,EWB-1000074,Equity,FHLMC,Borrower 74,"6456 Main St, Unit 12",Commercial & Multi-Family (5+ Units),CE1,WA,North,2,TRNS,James Miller,2023-04-23,2053-04-15,2026-04-20,4583,Current,0,773009,0,831669,804117,2023-04-08,621,96.13,2025-12-01,1675,300,DDA-15024,37745,2026-03-08,2026-03-16
East West Bank,EWB-1000075,Specialty,FNMA,Borrower 75,"3716 Main St, Unit 7",Residential Property (1-4 Units),CR1,GA,West,2,TRNS,Emily Watson,2023-10-05,2053-09-27,2026-04-20,3719,Current,0,685624,0,1269043,1263728,2023-09-20,597,54.25,2025-11-02,1341,821,DDA-53882,31360,2026-03-01,2026-03-18
East West Bank,EWB-1000076,ARM,FHLMC,Borrower 76,"4253 Main St, Unit 17",Residential Property (1-4 Units),CS1,VA,West,3,DIS,Karen Anderson,2023-01-22,2053-01-14,2026-04-20,2260,Current,0,141980,0,259751,244998,2023-01-07,692,57.95,2025-12-14,1961,811,DDA-20545,25692,2026-02-23,2026-03-19
