Bank,Account Number,Loan Type,Investor Code,Borrower,Property Address,Property Type,Product Line,State,Occup Code,Stop Code,Account Officer,Loan Closing Date,Maturity Date,Next Payment Due Date,Payment Due Amount,Delinquency Type,# Days Past Due,Total Bank Balance,Charge off Amount,Orig Appraisal Amount,Orig Appraisal Date,Appraisal Value,Appraisal Date,FICO,Total LTV,Last Payment Received Date,Last Payment Received Amount,Suspense Balance,DDA/Sav Acct#,DDA/Sav Account Balance,Latest Contact Date,Latest Attempt Date,Resp 5/9
East West Bank,EWB-1000021,Construction,GNMA,Borrower 21,"2267 Main St, Unit 12",Commercial & Multi-Family (5+ Units),SP1,NJ,1,DIS,Linda Garcia,2022-01-20,2052-01-13,2026-04-21,3934,Current,0,774428,0,1317752,2021-12-21,1332725,2025-07-29,594,58.11,2026-03-12,2405,318,SAV-78620,20518,2026-03-09,2026-03-21,Y
East West Bank,EWB-1000022,Conventional,EWB-INT,Borrower 22,"8204 Main St, Unit 33",Residential Property (1-4 Units),LC1,GA,3,REO,Susan Martinez,2022-08-04,2052-07-27,2026-04-21,2753,Current,0,319653,0,403618,2022-07-05,513620,2024-07-26,810,62.24,2026-02-08,3364,230,SAV-48828,40128,2026-03-09,2026-03-18,N
East West Bank,EWB-1000023,ARM,FNMA,Borrower 23,"1246 Main St, Unit 22",Residential Property (1-4 Units),CS1,MA,2,M,David Rodriguez,2023-11-17,2053-11-09,2026-04-21,4856,Current,0,1260998,0,1383916,2023-10-18,1391239,2025-11-17,801,90.64,2026-02-11,1957,414,SAV-49242,17799,2026-03-22,2026-03-21,NA
East West Bank,EWB-1000024,Construction,EWB-INT,Borrower 24,"4714 Main St, Unit 28",Commercial & Multi-Family (5+ Units),SP1,FL,2,SII,Lisa Williams,2022-05-18,2052-05-10,2026-04-21,4286,Current,0,871752,0,1123548,2022-04-18,1439308,2024-05-07,750,60.57,2026-03-21,1180,399,SAV-93835,32834,2026-03-14,2026-03-17,Y
East West Bank,EWB-1000025,Conventional,GNMA,Borrower 25,"5239 Main St, Unit 44",Commercial & Multi-Family (5+ Units),CS1,GA,4,LEG,Margaret Harris,2023-12-18,2053-12-10,2026-04-21,1484,Current,0,852240,0,1149238,2023-11-18,1429672,2024-03-24,822,59.61,2026-02-04,1660,182,SAV-42650,44244,2026-03-19,2026-03-22,NA
East West Bank,EWB-1000026,ARM,PRIV,Borrower 26,"4613 Main St, Unit 13",Residential Property (1-4 Units),LC1,NJ,4,LEG,Christopher Thomas,2022-03-13,2052-03-05,2026-04-21,3681,Current,0,109270,0,193585,2022-02-11,237393,2024-04-10,624,46.03,2026-02-05,2048,15,SAV-37491,45962,2026-03-15,2026-03-17,NA
East West Bank,EWB-1000027,Construction,FNMA,Borrower 27,"2241 Main St, Unit 11",Residential Property (1-4 Units),LC1,GA,3,DIS,Daniel Martin,2023-05-26,2053-05-18,2026-04-21,3323,Current,0,242935,0,259556,2023-04-26,263565,2024-05-16,607,92.17,2026-03-08,1033,88,SAV-19194,5600,2026-03-20,2026-03-21,NA
East West Bank,EWB-1000028,Foreign National,FHLMC,Borrower 28,"3166 Main St, Unit 13",Residential Property (1-4 Units),LC1,TX,3,FC,Michael Chen,2022-04-30,2052-04-22,2026-04-21,3660,Current,0,147169,0,175939,2022-03-31,210081,2025-03-27,707,70.05,2026-02-05,2610,51,SAV-79601,42617,2026-03-11,2026-03-20,NA
East West Bank,EWB-1000029,Foreign National,EWB-INT,Borrower 29,"9361 Main St, Unit 4",Residential Property (1-4 Units),HE1,TX,1,REO,Karen Anderson,2023-08-25,2053-08-17,2026-04-21,4151,60-Day Delinquent,60,474537,0,558923,2023-07-26,595467,2024-11-05,810,79.69,2026-02-04,2971,377,SAV-22812,31534,2026-03-11,2026-03-22,N
East West Bank,EWB-1000030,Conventional,PRIV,Borrower 30,"3102 Main St, Unit 41",Residential Property (1-4 Units),HE1,IL,2,TRNS,Karen Anderson,2023-09-03,2053-08-26,2026-04-21,2582,90-Day Delinquent,90,532409,2415,835440,2023-08-04,1021525,2025-02-09,700,52.12,2026-02-10,2276,392,SAV-25132,49383,2026-03-17,2026-03-20,Y
East West Bank,EWB-1000031,ARM,EWB-INT,Borrower 31,"8691 Main St, Unit 9",Residential Property (1-4 Units),HE1,VA,1,BK,Patricia Hernandez,2023-02-08,2053-01-31,2026-04-21,2341,60-Day Delinquent,60,322772,0,552690,2023-01-09,687583,2025-02-27,777,46.94,2026-01-21,3845,217,SAV-32882,9602,2026-03-10,2026-03-19,Y
East West Bank,EWB-1000032,Specialty,EWB-INT,Borrower 32,"514 Main St, Unit 26",Commercial & Multi-Family (5+ Units),SP1,VA,1,DIS,Richard Davis,2023-09-14,2053-09-06,2026-04-21,3770,Current,0,239711,0,378576,2023-08-15,400900,2025-07-02,751,59.79,2026-03-11,3907,255,SAV-62702,32104,2026-03-17,2026-03-20,Y
East West Bank,EWB-1000033,Equity,FNMA,Borrower 33,"6618 Main St, Unit 32",Commercial & Multi-Family (5+ Units),CR1,NJ,2,LOSS,Christopher Thomas,2022-11-15,2052-11-07,2026-04-21,3129,Current,0,115113,0,211087,2022-10-16,225780,2024-06-23,812,50.98,2026-01-27,2716,420,SAV-78083,6819,2026-03-09,2026-03-19,NA
East West Bank,EWB-1000034,Foreign National,FNMA,Borrower 34,"6050 Main St, Unit 16",Residential Property (1-4 Units),CS1,GA,4,SII,Michael Chen,2022-10-14,2052-10-06,2026-04-21,4576,Current,0,481542,0,589792,2022-09-14,562218,2024-12-06,631,85.65,2026-02-26,2885,155,SAV-90494,19275,2026-03-08,2026-03-20,NA
East West Bank,EWB-1000035,Construction,FNMA,Borrower 35,"8108 Main St, Unit 6",Commercial & Multi-Family (5+ Units),CE1,WA,4,LOSS,Thomas Thompson,2022-09-04,2052-08-27,2026-04-21,1801,Current,0,113751,0,215318,2022-08-05,222975,2025-01-31,692,51.02,2026-02-25,1333,209,SAV-86186,25371,2026-03-22,2026-03-19,NA
East West Bank,EWB-1000036,Conventional,EWB-INT,Borrower 36,"1984 Main St, Unit 43",Residential Property (1-4 Units),SP1,CA,3,LEG,Patricia Hernandez,2022-04-29,2052-04-21,2026-04-21,2278,Current,0,869188,0,931239,2022-03-30,895112,2025-12-02,766,97.1,2026-02-16,1740,188,SAV-98660,31248,2026-03-20,2026-03-17,N
East West Bank,EWB-1000037,Conventional,FHLMC,Borrower 37,"7181 Main St, Unit 14",Commercial & Multi-Family (5+ Units),CE1,NJ,4,FC,Karen Anderson,2022-03-15,2052-03-07,2026-04-21,3821,30-Day Delinquent,30,623382,0,1170545,2022-02-13,1215607,2025-07-16,633,51.28,2026-03-01,3309,140,SAV-53063,21414,2026-03-22,2026-03-22,Y
East West Bank,EWB-1000038,Conventional,FHLMC,Borrower 38,"654 Main St, Unit 28",Residential Property (1-4 Units),LC1,TX,3,SII,John Smith,2023-09-08,2053-08-31,2026-04-21,2556,Current,0,332370,0,419536,2023-08-09,401108,2025-02-01,705,82.86,2026-02-27,3582,289,SAV-22352,7658,2026-03-11,2026-03-19,N
East West Bank,EWB-1000039,Foreign National,PRIV,Borrower 39,"1278 Main St, Unit 48",Commercial & Multi-Family (5+ Units),LC1,TX,3,LOSS,Barbara Taylor,2023-06-11,2053-06-03,2026-04-21,2884,Current,0,668756,0,987291,2023-05-12,1037291,2024-04-20,777,64.47,2026-03-15,1262,47,SAV-98854,8246,2026-03-18,2026-03-19,N
East West Bank,EWB-1000040,Construction,FNMA,Borrower 40,"6590 Main St, Unit 25",Commercial & Multi-Family (5+ Units),LC1,VA,4,FC,Nancy Jackson,2022-11-21,2052-11-13,2026-04-21,2083,Current,0,1205396,0,1269043,2022-10-22,1160201,2024-12-09,782,103.9,2026-03-15,1921,182,SAV-81697,4665,2026-03-21,2026-03-18,Y
East West Bank,EWB-1000041,Construction,FHLMC,Borrower 41,"4830 Main St, Unit 11",Residential Property (1-4 Units),LC1,NJ,2,M,Sandra Garcia,2023-07-18,2053-07-10,2026-04-21,2331,Current,0,732358,0,961774,2023-06-18,979631,2025-05-03,677,74.76,2026-03-21,1319,91,SAV-68266,10097,2026-03-19,2026-03-17,N
East West Bank,EWB-1000042,Lot Loan,GNMA,Borrower 42,"3646 Main St, Unit 14",Commercial & Multi-Family (5+ Units),CR1,MA,2,LOSS,Linda Garcia,2023-10-31,2053-10-23,2026-04-21,4407,30-Day Delinquent,30,442074,0,708986,2023-10-01,888396,2024-09-28,819,49.76,2026-02-22,2425,100,SAV-58385,35333,2026-03-11,2026-03-19,NA
East West Bank,EWB-1000043,Specialty,EWB-INT,Borrower 43,"1409 Main St, Unit 2",Commercial & Multi-Family (5+ Units),HE1,GA,4,LEG,Michael Chen,2023-12-16,2053-12-08,2026-04-21,1803,60-Day Delinquent,60,187588,0,201663,2023-11-16,211360,2025-03-09,838,88.75,2026-03-08,3970,178,SAV-44137,11661,2026-03-19,2026-03-19,NA
East West Bank,EWB-1000044,ARM,GNMA,Borrower 44,"1857 Main St, Unit 29",Commercial & Multi-Family (5+ Units),HE1,NJ,4,FC,James Miller,2022-08-14,2052-08-06,2026-04-21,4511,Current,0,216467,0,262547,2022-07-15,323045,2025-01-14,726,67.01,2026-01-30,3934,100,SAV-77423,22079,2026-03-08,2026-03-21,NA
East West Bank,EWB-1000045,Conventional,EWB-INT,Borrower 45,"2600 Main St, Unit 23",Commercial & Multi-Family (5+ Units),LC1,FL,3,LOSS,James Miller,2022-08-03,2052-07-26,2026-04-21,3197,Current,0,299340,0,364835,2022-07-04,383372,2024-10-20,707,78.08,2026-03-06,1748,54,SAV-34659,21058,2026-03-11,2026-03-20,Y
East West Bank,EWB-1000046,Specialty,GNMA,Borrower 46,"6931 Main St, Unit 12",Commercial & Multi-Family (5+ Units),LC1,IL,1,FC,Thomas Thompson,2023-07-05,2053-06-27,2026-04-21,2709,Current,0,1306209,0,1471831,2023-06-05,1832710,2024-05-21,846,71.27,2026-02-28,3004,262,SAV-39748,44980,2026-03-12,2026-03-17,Y
East West Bank,EWB-1000047,Conventional,FHLMC,Borrower 47,"1994 Main St, Unit 10",Commercial & Multi-Family (5+ Units),CR1,CA,1,DIS,Donald Martinez,2022-02-19,2052-02-12,2026-04-21,4134,Current,0,613535,0,975816,2022-01-20,1100055,2025-09-23,678,55.77,2026-03-12,2780,24,SAV-24423,7349,2026-03-18,2026-03-18,NA
East West Bank,EWB-1000048,Specialty,FHLMC,Borrower 48,"551 Main St, Unit 3",Commercial & Multi-Family (5+ Units),HE1,NY,3,BK,Barbara Taylor,2022-09-02,2052-08-25,2026-04-21,1286,Current,0,603833,0,795263,2022-08-03,761061,2025-03-12,691,79.34,2026-03-16,3404,300,SAV-29829,26146,2026-03-19,2026-03-17,NA
East West Bank,EWB-1000049,Foreign National,FHLMC,Borrower 49,"7297 Main St, Unit 36",Residential Property (1-4 Units),LC1,GA,4,BK,Richard Davis,2022-07-15,2052-07-07,2026-04-21,2671,Current,0,348374,0,523616,2022-06-15,574667,2026-02-19,833,60.62,2026-03-20,1695,11,SAV-45243,26280,2026-03-12,2026-03-21,NA
East West Bank,EWB-1000050,Specialty,GNMA,Borrower 50,"4370 Main St, Unit 45",Commercial & Multi-Family (5+ Units),LC1,TX,4,SII,James Miller,2023-06-19,2053-06-11,2026-04-21,2291,90-Day Delinquent,90,229673,1358,267796,2023-05-20,264980,2025-09-14,588,86.68,2026-01-23,2478,219,SAV-78173,39062,2026-03-21,2026-03-17,Y
East West Bank,EWB-1000051,Construction,FHLMC,Borrower 51,"9167 Main St, Unit 31",Commercial & Multi-Family (5+ Units),SP1,TX,4,FC,Margaret Harris,2022-09-22,2052-09-14,2026-04-21,4909,Current,0,481117,0,848002,2022-08-23,1030092,2025-07-28,710,46.71,2026-02-06,3101,11,SAV-60101,8007,2026-03-20,2026-03-18,NA
East West Bank,EWB-1000052,Construction,FHLMC,Borrower 52,"825 Main St, Unit 25",Commercial & Multi-Family (5+ Units),CE1,NY,4,LEG,James Miller,2022-07-17,2052-07-09,2026-04-21,4958,90-Day Delinquent,90,891292,928,1057317,2022-06-17,1361583,2025-10-24,740,65.46,2026-01-25,2030,434,SAV-26349,30348,2026-03-20,2026-03-17,Y
East West Bank,EWB-1000053,Specialty,EWB-INT,Borrower 53,"4934 Main St, Unit 36",Commercial & Multi-Family (5+ Units),LC1,TX,4,BK,Matthew Moore,2022-02-07,2052-01-31,2026-04-21,1820,30-Day Delinquent,30,735964,0,818234,2022-01-08,828495,2024-06-06,683,88.83,2026-02-27,3996,72,SAV-26360,6703,2026-03-20,2026-03-21,NA
East West Bank,EWB-1000054,Equity,EWB-INT,Borrower 54,"4707 Main St, Unit 1",Residential Property (1-4 Units),CS1,IL,2,FC,Charles Wilson,2023-06-28,2053-06-20,2026-04-21,3712,30-Day Delinquent,30,573067,0,1062495,2023-05-29,1064124,2024-09-29,678,53.85,2026-02-02,2232,230,SAV-91041,42812,2026-03-22,2026-03-19,Y
East West Bank,EWB-1000055,Lot Loan,EWB-INT,Borrower 55,"8906 Main St, Unit 22",Commercial & Multi-Family (5+ Units),CE1,NJ,2,SII,Charles Wilson,2023-10-19,2053-10-11,2026-04-21,1840,90-Day Delinquent,120,1021783,926,1136001,2023-09-19,1140089,2025-03-20,773,89.62,2026-03-08,2173,487,SAV-85726,36713,2026-03-09,2026-03-17,Y
East West Bank,EWB-1000056,Construction,FNMA,Borrower 56,"4807 Main St, Unit 3",Residential Property (1-4 Units),SP1,NJ,1,TRNS,Charles Wilson,2022-03-18,2052-03-10,2026-04-21,4620,30-Day Delinquent,30,532231,0,604351,2022-02-16,772185,2024-04-11,740,68.93,2026-03-08,3025,294,SAV-63453,22805,2026-03-20,2026-03-17,N
East West Bank,EWB-1000057,Specialty,EWB-INT,Borrower 57,"7234 Main St, Unit 23",Residential Property (1-4 Units),LC1,IL,2,BK,Sandra Garcia,2023-01-13,2053-01-05,2026-04-21,3422,Current,0,771731,0,1186685,2022-12-14,1186482,2025-05-20,714,65.04,2026-03-16,1295,346,SAV-23245,10751,2026-03-08,2026-03-19,N
East West Bank,EWB-1000058,Construction,PRIV,Borrower 58,"3093 Main St, Unit 32",Commercial & Multi-Family (5+ Units),HE1,NY,1,M,David Rodriguez,2022-10-03,2052-09-25,2026-04-21,1798,30-Day Delinquent,30,355970,0,406687,2022-09-03,386020,2024-11-18,601,92.22,2026-02-26,2069,182,SAV-32986,40787,2026-03-20,2026-03-17,Y
East West Bank,EWB-1000059,Equity,FHLMC,Borrower 59,"6568 Main St, Unit 27",Commercial & Multi-Family (5+ Units),LC1,MA,1,PIF,Joseph White,2022-11-20,2052-11-12,2026-04-21,1455,Current,0,146093,0,284508,2022-10-21,273222,2024-08-07,843,53.47,2026-02-01,2946,99,SAV-43758,4912,2026-03-15,2026-03-17,N
East West Bank,EWB-1000060,ARM,FHLMC,Borrower 60,"7093 Main St, Unit 25",Residential Property (1-4 Units),LC1,GA,4,FC,Lisa Williams,2022-12-27,2052-12-19,2026-04-21,2732,30-Day Delinquent,30,817650,0,990477,2022-11-27,957234,2024-06-22,726,85.42,2026-02-02,3656,310,SAV-53726,47150,2026-03-18,2026-03-21,NA
East West Bank,EWB-1000061,Equity,GNMA,Borrower 61,"220 Main St, Unit 4",Residential Property (1-4 Units),CR1,TX,2,TRNS,Michael Chen,2022-12-28,2052-12-20,2026-04-21,3272,Current,0,678568,0,780271,2022-11-28,861726,2026-02-04,751,78.75,2026-01-31,1260,213,SAV-64444,29008,2026-03-16,2026-03-21,NA
East West Bank,EWB-1000062,Construction,EWB-INT,Borrower 62,"281 Main St, Unit 36",Residential Property (1-4 Units),CS1,MA,2,FC,John Smith,2022-05-13,2052-05-05,2026-04-21,1737,90-Day Delinquent,120,968397,4744,1281565,2022-04-13,1182257,2025-02-13,585,81.91,2026-02-07,3503,435,SAV-29888,34396,2026-03-17,2026-03-20,N
East West Bank,EWB-1000063,Lot Loan,EWB-INT,Borrower 63,"1424 Main St, Unit 26",Residential Property (1-4 Units),CS1,NJ,4,PIF,Richard Davis,2022-12-01,2052-11-23,2026-04-21,1327,Current,0,318343,0,561927,2022-11-01,514320,2025-03-09,760,61.9,2026-03-04,1383,323,SAV-90071,5102,2026-03-12,2026-03-19,N
East West Bank,EWB-1000064,Equity,PRIV,Borrower 64,"8965 Main St, Unit 16",Residential Property (1-4 Units),LC1,GA,1,TRNS,Sarah Jenkins,2023-02-04,2053-01-27,2026-04-21,3609,Current,0,444675,0,798307,2023-01-05,944079,2025-08-14,832,47.1,2026-01-24,2393,151,SAV-43752,45930,2026-03-16,2026-03-22,Y
East West Bank,EWB-1000065,Lot Loan,FHLMC,Borrower 65,"3519 Main St, Unit 45",Residential Property (1-4 Units),CR1,NY,3,FC,Sarah Jenkins,2022-04-24,2052-04-16,2026-04-21,1169,Current,0,394952,0,418246,2022-03-25,391967,2025-09-13,835,100.76,2026-03-01,1728,333,SAV-42451,5056,2026-03-16,2026-03-22,N
East West Bank,EWB-1000066,Lot Loan,FHLMC,Borrower 66,"9967 Main St, Unit 8",Residential Property (1-4 Units),HE1,VA,1,REO,Patricia Hernandez,2023-02-27,2053-02-19,2026-04-21,4635,Current,0,587866,0,700929,2023-01-28,635049,2024-08-04,637,92.57,2026-01-29,1238,424,SAV-89021,1752,2026-03-15,2026-03-17,NA
East West Bank,EWB-1000067,Construction,EWB-INT,Borrower 67,"8683 Main St, Unit 7",Commercial & Multi-Family (5+ Units),HE1,FL,2,TRNS,Robert Brown,2022-05-18,2052-05-10,2026-04-21,4077,90-Day Delinquent,120,410343,1120,595101,2022-04-18,667268,2024-06-05,730,61.5,2026-03-13,2811,69,SAV-23556,48985,2026-03-09,2026-03-21,NA
East West Bank,EWB-1000068,Equity,FNMA,Borrower 68,"7368 Main St, Unit 8",Commercial & Multi-Family (5+ Units),HE1,IL,1,LOSS,Matthew Moore,2022-06-02,2052-05-25,2026-04-21,2226,Current,0,1043462,0,1280650,2022-05-03,1634713,2024-10-19,683,63.83,2026-01-29,2478,329,SAV-28153,43165,2026-03-21,2026-03-20,Y
East West Bank,EWB-1000069,Specialty,EWB-INT,Borrower 69,"759 Main St, Unit 43",Commercial & Multi-Family (5+ Units),CS1,IL,1,TRNS,Emily Watson,2023-10-02,2053-09-24,2026-04-21,2988,30-Day Delinquent,30,420890,0,648863,2023-09-02,677461,2026-01-13,749,62.13,2026-01-26,1755,2,SAV-30351,29319,2026-03-15,2026-03-18,N
East West Bank,EWB-1000070,Construction,FHLMC,Borrower 70,"867 Main St, Unit 7",Commercial & Multi-Family (5+ Units),SP1,NY,4,M,Barbara Taylor,2022-04-25,2052-04-17,2026-04-21,2656,60-Day Delinquent,60,198391,0,385362,2022-03-26,408076,2025-01-09,592,48.62,2026-02-14,3450,49,SAV-50689,3195,2026-03-20,2026-03-18,Y
East West Bank,EWB-1000071,Specialty,FNMA,Borrower 71,"1877 Main St, Unit 21",Commercial & Multi-Family (5+ Units),HE1,WA,2,BK,Patricia Hernandez,2022-12-03,2052-11-25,2026-04-21,3457,Current,0,1244114,0,1447286,2022-11-03,1411985,2026-01-16,752,88.11,2026-02-14,1484,155,SAV-99795,8895,2026-03-13,2026-03-21,N
East West Bank,EWB-1000072,Construction,PRIV,Borrower 72,"7818 Main St, Unit 14",Residential Property (1-4 Units),HE1,MA,4,SII,David Rodriguez,2023-12-05,2053-11-27,2026-04-21,3144,Current,0,476503,0,751863,2023-11-05,797139,2024-09-27,721,59.78,2026-02-17,2708,324,SAV-37078,45999,2026-03-22,2026-03-17,N
East West Bank,EWB-1000073,Equity,FHLMC,Borrower 73,"208 Main St, Unit 14",Commercial & Multi-Family (5+ Units),LC1,FL,1,TRNS,Sandra Garcia,2023-11-19,2053-11-11,2026-04-21,1708,90-Day Delinquent,90,300699,2062,598982,2023-10-20,765361,2025-10-01,671,39.29,2026-02-11,3884,327,SAV-34824,39778,2026-03-16,2026-03-17,NA
